epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8351,1.52922,3.38924,1.17461,0.52316,0.1576,0.12694,0.07571,1.43389,2.11764,1.14789,0.000132544,0.000132544,0.000132544
2,35.3866,1.44371,2.20574,1.16147,0.51047,0.22066,0.18905,0.11362,1.40697,1.84522,1.1609,0.000263246,0.000263246,0.000263246
3,51.4427,1.44488,1.98462,1.16185,0.6518,0.20604,0.2098,0.12599,1.40943,1.6992,1.15865,0.000391307,0.000391307,0.000391307
4,66.9353,1.39453,1.82275,1.14773,0.5357,0.27562,0.2514,0.15467,1.39268,1.62346,1.1328,0.00038812,0.00038812,0.00038812
5,82.3467,1.37586,1.74029,1.13352,0.55389,0.29612,0.26528,0.16305,1.33944,1.48485,1.12267,0.00038416,0.00038416,0.00038416
6,97.5287,1.36215,1.65298,1.12676,0.5706,0.29171,0.27984,0.16817,1.36961,1.57742,1.144,0.0003802,0.0003802,0.0003802
7,111.966,1.33612,1.5781,1.11693,0.61465,0.30787,0.29308,0.17758,1.37739,1.48409,1.14435,0.00037624,0.00037624,0.00037624
8,125.739,1.32869,1.54942,1.11543,0.61513,0.3005,0.31174,0.18791,1.37681,1.40029,1.12479,0.00037228,0.00037228,0.00037228
9,139.749,1.31534,1.49985,1.1056,0.58253,0.29029,0.32224,0.20383,1.34978,1.46871,1.11723,0.00036832,0.00036832,0.00036832
10,153.851,1.31822,1.47708,1.1108,0.51941,0.32294,0.31674,0.19226,1.33692,1.39603,1.10687,0.00036436,0.00036436,0.00036436
11,167.329,1.29523,1.41147,1.09372,0.58937,0.29276,0.31203,0.1853,1.38385,1.44828,1.14792,0.0003604,0.0003604,0.0003604
12,182.277,1.28925,1.40962,1.09465,0.6227,0.30037,0.32052,0.19238,1.34766,1.38863,1.11673,0.00035644,0.00035644,0.00035644
13,198.238,1.27196,1.35552,1.08556,0.62036,0.31613,0.33214,0.20175,1.33248,1.37562,1.11115,0.00035248,0.00035248,0.00035248
14,214.806,1.27584,1.33754,1.08587,0.59745,0.34107,0.35265,0.21685,1.34689,1.39811,1.11906,0.00034852,0.00034852,0.00034852
15,230.943,1.26877,1.3254,1.08168,0.63089,0.32887,0.34904,0.20964,1.35338,1.32868,1.12669,0.00034456,0.00034456,0.00034456
16,247.369,1.24823,1.29235,1.07533,0.63974,0.32901,0.34999,0.20624,1.3906,1.31075,1.12351,0.0003406,0.0003406,0.0003406
17,264.187,1.26772,1.28577,1.07901,0.64263,0.3184,0.34568,0.20776,1.37105,1.33479,1.13043,0.00033664,0.00033664,0.00033664
18,279.922,1.24259,1.25919,1.07559,0.58952,0.34809,0.34871,0.21274,1.31326,1.32978,1.09861,0.00033268,0.00033268,0.00033268
19,294.744,1.25058,1.25136,1.07161,0.69459,0.2942,0.33563,0.19632,1.37465,1.28727,1.12675,0.00032872,0.00032872,0.00032872
20,308.566,1.24648,1.23038,1.07087,0.62686,0.33536,0.34079,0.20272,1.34434,1.33184,1.1256,0.00032476,0.00032476,0.00032476
21,322.597,1.22117,1.20493,1.06504,0.49207,0.3673,0.3624,0.21111,1.37817,1.33721,1.13218,0.0003208,0.0003208,0.0003208
22,336.405,1.21973,1.19623,1.06084,0.59343,0.33443,0.35723,0.20997,1.3328,1.29063,1.10914,0.00031684,0.00031684,0.00031684
23,349.871,1.22969,1.17818,1.06099,0.52126,0.35978,0.36721,0.21641,1.35538,1.26133,1.12082,0.00031288,0.00031288,0.00031288
24,365.467,1.21692,1.16607,1.05673,0.66513,0.3087,0.35462,0.21281,1.32624,1.26209,1.10369,0.00030892,0.00030892,0.00030892
25,381.679,1.19874,1.14747,1.0481,0.53437,0.40292,0.39228,0.239,1.33033,1.30461,1.11159,0.00030496,0.00030496,0.00030496
26,398.067,1.21386,1.14714,1.05576,0.5872,0.38239,0.40656,0.24575,1.37617,1.27766,1.13224,0.000301,0.000301,0.000301
27,414.274,1.19903,1.11437,1.04979,0.6111,0.36211,0.36597,0.22575,1.32376,1.28651,1.09579,0.00029704,0.00029704,0.00029704
28,430.351,1.1962,1.11604,1.04633,0.60525,0.37246,0.40098,0.24207,1.33168,1.22665,1.10694,0.00029308,0.00029308,0.00029308
29,446.712,1.20646,1.12422,1.05268,0.50136,0.37516,0.37512,0.22656,1.30263,1.23288,1.10431,0.00028912,0.00028912,0.00028912
30,462.997,1.19596,1.09565,1.04644,0.60631,0.3516,0.37558,0.22844,1.32326,1.2495,1.10447,0.00028516,0.00028516,0.00028516
31,479.899,1.18817,1.09103,1.04434,0.46347,0.4161,0.39261,0.23361,1.32166,1.25282,1.09921,0.0002812,0.0002812,0.0002812
32,494.984,1.17509,1.07977,1.04235,0.53678,0.41574,0.39169,0.23765,1.32834,1.27509,1.10898,0.00027724,0.00027724,0.00027724
33,508.795,1.18053,1.07378,1.04065,0.62421,0.34335,0.38275,0.23147,1.31369,1.2657,1.11596,0.00027328,0.00027328,0.00027328
34,522.092,1.17283,1.05918,1.03721,0.55252,0.36987,0.38357,0.23028,1.30681,1.21288,1.10139,0.00026932,0.00026932,0.00026932
35,536.248,1.1577,1.03595,1.03112,0.50105,0.42739,0.40469,0.24988,1.32129,1.24067,1.10522,0.00026536,0.00026536,0.00026536
36,550.916,1.152,1.02713,1.03189,0.56761,0.38235,0.38406,0.23026,1.3539,1.2579,1.11778,0.0002614,0.0002614,0.0002614
37,564.593,1.1674,1.03334,1.0342,0.57379,0.40983,0.41186,0.25053,1.30432,1.22795,1.10172,0.00025744,0.00025744,0.00025744
38,578.147,1.15519,1.01671,1.02703,0.58022,0.37183,0.40078,0.2454,1.32852,1.26693,1.1111,0.00025348,0.00025348,0.00025348
39,592.223,1.1557,1.01781,1.03221,0.58242,0.39198,0.41337,0.2562,1.34747,1.22344,1.1123,0.00024952,0.00024952,0.00024952
40,606.388,1.16006,1.00363,1.02336,0.54103,0.41037,0.40327,0.24969,1.33372,1.28601,1.1102,0.00024556,0.00024556,0.00024556
41,619.395,1.14634,0.99467,1.02744,0.52629,0.42339,0.41237,0.25863,1.3126,1.24775,1.10179,0.0002416,0.0002416,0.0002416
42,632.761,1.15197,0.99293,1.02107,0.60601,0.33856,0.40578,0.25484,1.30138,1.24565,1.09871,0.00023764,0.00023764,0.00023764
43,647.654,1.13882,0.98942,1.02114,0.53456,0.42111,0.42475,0.26201,1.29887,1.20248,1.09725,0.00023368,0.00023368,0.00023368
44,661.974,1.13471,0.97451,1.02289,0.58325,0.40248,0.42283,0.25496,1.35307,1.21773,1.12322,0.00022972,0.00022972,0.00022972
45,676.395,1.14362,0.9786,1.02479,0.60417,0.38817,0.43297,0.26824,1.29366,1.23051,1.10041,0.00022576,0.00022576,0.00022576
46,690.702,1.13247,0.96845,1.01772,0.59756,0.36889,0.426,0.25723,1.31208,1.20261,1.1075,0.0002218,0.0002218,0.0002218
47,705.704,1.12275,0.95196,1.01813,0.63401,0.35489,0.41264,0.26042,1.30435,1.25042,1.10111,0.00021784,0.00021784,0.00021784
48,720.063,1.12272,0.9527,1.01369,0.6477,0.39126,0.43082,0.26633,1.29849,1.20872,1.09838,0.00021388,0.00021388,0.00021388
49,734.466,1.11797,0.94339,1.01227,0.60303,0.3581,0.4349,0.26364,1.29897,1.22198,1.10053,0.00020992,0.00020992,0.00020992
50,748.209,1.1161,0.93251,1.00872,0.61323,0.37227,0.42884,0.27103,1.29168,1.15944,1.09483,0.00020596,0.00020596,0.00020596
51,761.995,1.12392,0.937,1.01112,0.57415,0.41885,0.43447,0.26527,1.35238,1.23941,1.11912,0.000202,0.000202,0.000202
52,775.643,1.11395,0.92398,1.00686,0.59951,0.38793,0.48527,0.27097,1.34831,1.22207,1.12994,0.00019804,0.00019804,0.00019804
53,789.727,1.11073,0.92356,1.00956,0.62089,0.38325,0.49157,0.26937,1.31918,1.19232,1.10683,0.00019408,0.00019408,0.00019408
54,803.448,1.1069,0.91274,1.01066,0.61826,0.40031,0.45099,0.26631,1.33097,1.20045,1.11663,0.00019012,0.00019012,0.00019012
55,817.413,1.09868,0.92166,1.00523,0.67814,0.37253,0.47777,0.28488,1.3084,1.22166,1.09712,0.00018616,0.00018616,0.00018616
56,831.296,1.1011,0.90829,1.00188,0.59335,0.37952,0.45534,0.26446,1.34894,1.20602,1.11798,0.0001822,0.0001822,0.0001822
57,845.012,1.09062,0.89259,1.00517,0.6065,0.40127,0.50148,0.27824,1.34135,1.20333,1.11716,0.00017824,0.00017824,0.00017824
58,859.298,1.08474,0.88503,1.00261,0.64393,0.36405,0.45309,0.26457,1.32945,1.23296,1.11283,0.00017428,0.00017428,0.00017428
59,873.765,1.09272,0.89587,1.0019,0.59662,0.38803,0.43467,0.26254,1.33554,1.22771,1.11942,0.00017032,0.00017032,0.00017032
60,887.45,1.09355,0.88218,1.00168,0.6351,0.37758,0.43852,0.27132,1.32397,1.20836,1.11245,0.00016636,0.00016636,0.00016636
61,901.298,1.0861,0.87937,0.99949,0.64632,0.38695,0.4439,0.26693,1.34054,1.22738,1.12156,0.0001624,0.0001624,0.0001624
62,914.965,1.09435,0.88639,0.99948,0.62406,0.37767,0.4933,0.2759,1.33357,1.18892,1.11447,0.00015844,0.00015844,0.00015844
63,928.775,1.08515,0.88293,0.99644,0.66928,0.38035,0.43202,0.26958,1.29959,1.18365,1.09853,0.00015448,0.00015448,0.00015448
64,942.538,1.08221,0.87117,0.99686,0.64524,0.37409,0.43379,0.26694,1.31861,1.21621,1.11707,0.00015052,0.00015052,0.00015052
65,956.276,1.07357,0.8601,0.9948,0.45704,0.4981,0.49843,0.28711,1.32783,1.2247,1.11326,0.00014656,0.00014656,0.00014656
66,970.237,1.07505,0.86176,0.99361,0.6341,0.38009,0.43677,0.27073,1.30394,1.18729,1.10136,0.0001426,0.0001426,0.0001426
67,984.08,1.0719,0.84961,0.99166,0.64543,0.39623,0.49928,0.27921,1.32532,1.18611,1.11176,0.00013864,0.00013864,0.00013864
68,997.872,1.06418,0.85192,0.99025,0.6252,0.37675,0.49236,0.27811,1.3373,1.22652,1.12047,0.00013468,0.00013468,0.00013468
69,1011.61,1.07076,0.8451,0.99391,0.62497,0.38485,0.44096,0.26976,1.31213,1.21776,1.10814,0.00013072,0.00013072,0.00013072
70,1025.31,1.06084,0.84246,0.9919,0.60934,0.38668,0.49688,0.27414,1.30393,1.19478,1.1022,0.00012676,0.00012676,0.00012676
71,1039.4,1.0761,0.84609,0.99136,0.60381,0.40838,0.43913,0.26564,1.30185,1.20555,1.10309,0.0001228,0.0001228,0.0001228
72,1052.99,1.04748,0.82814,0.98542,0.60797,0.3918,0.44055,0.26808,1.31541,1.20951,1.10867,0.00011884,0.00011884,0.00011884
73,1066.73,1.06769,0.8332,0.9853,0.64217,0.38025,0.44361,0.26911,1.32081,1.18577,1.10765,0.00011488,0.00011488,0.00011488
74,1080.51,1.05492,0.8298,0.98223,0.59253,0.43825,0.50716,0.28985,1.31094,1.18294,1.10842,0.00011092,0.00011092,0.00011092
75,1094.28,1.04979,0.8118,0.98186,0.58199,0.43333,0.46213,0.27665,1.31859,1.18073,1.10901,0.00010696,0.00010696,0.00010696
76,1107.94,1.05556,0.81969,0.98468,0.62259,0.38817,0.5033,0.28728,1.32571,1.21051,1.11682,0.000103,0.000103,0.000103
77,1121.59,1.04365,0.81942,0.97898,0.62768,0.42113,0.50893,0.29133,1.30528,1.1621,1.10488,9.904e-05,9.904e-05,9.904e-05
78,1135.55,1.0456,0.81265,0.98103,0.58257,0.4389,0.51357,0.28692,1.31536,1.16727,1.11202,9.508e-05,9.508e-05,9.508e-05
79,1149.28,1.03928,0.79698,0.97766,0.58937,0.42146,0.44377,0.26601,1.31944,1.17459,1.11215,9.112e-05,9.112e-05,9.112e-05
80,1162.97,1.05635,0.80945,0.98258,0.5603,0.40876,0.44852,0.2747,1.30662,1.18649,1.10759,8.716e-05,8.716e-05,8.716e-05
81,1176.57,1.03343,0.79496,0.97841,0.62017,0.39163,0.43987,0.26779,1.33742,1.19173,1.12234,8.32e-05,8.32e-05,8.32e-05
82,1190.12,1.03972,0.79598,0.97768,0.58779,0.40439,0.4351,0.26694,1.32283,1.19708,1.11777,7.924e-05,7.924e-05,7.924e-05
83,1203.83,1.02762,0.78889,0.97578,0.64852,0.38146,0.44457,0.26828,1.32026,1.18357,1.11283,7.528e-05,7.528e-05,7.528e-05
84,1217.66,1.0482,0.79587,0.97867,0.64233,0.37728,0.45122,0.27395,1.30968,1.16772,1.10599,7.132e-05,7.132e-05,7.132e-05
85,1231.38,1.02941,0.79131,0.9765,0.63223,0.40667,0.4529,0.27152,1.32596,1.19688,1.11266,6.736e-05,6.736e-05,6.736e-05
86,1245.18,1.02679,0.78672,0.97679,0.61561,0.41268,0.44763,0.27326,1.30672,1.16445,1.11092,6.34e-05,6.34e-05,6.34e-05
87,1259.1,1.01534,0.77697,0.96896,0.607,0.40774,0.44485,0.2722,1.30337,1.17485,1.10806,5.944e-05,5.944e-05,5.944e-05
88,1272.78,1.03502,0.79093,0.97842,0.42797,0.48548,0.47312,0.27725,1.32698,1.18666,1.11361,5.548e-05,5.548e-05,5.548e-05
89,1286.71,1.0273,0.78331,0.97217,0.65736,0.37531,0.43592,0.26779,1.31888,1.18084,1.11508,5.152e-05,5.152e-05,5.152e-05
90,1300.29,1.01979,0.76714,0.9711,0.59866,0.41488,0.44039,0.27311,1.30945,1.17449,1.11008,4.756e-05,4.756e-05,4.756e-05
91,1316.61,1.03561,0.7584,0.96768,0.60957,0.40311,0.43016,0.26192,1.32277,1.2194,1.12538,4.36e-05,4.36e-05,4.36e-05
