epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,674.094,1.15442,1.00634,1.02262,0.58427,0.39659,0.42803,0.26759,1.34256,1.22263,1.11209,0.00023764,0.00023764,0.00023764
43,689.939,1.14068,0.99476,1.02111,0.6374,0.39677,0.4233,0.25696,1.32693,1.24637,1.10138,0.00023368,0.00023368,0.00023368
44,705.285,1.13844,0.98481,1.02149,0.62225,0.38529,0.41963,0.25393,1.36196,1.23367,1.11769,0.00022972,0.00022972,0.00022972
45,722.757,1.14487,0.98598,1.02253,0.66279,0.38877,0.42694,0.26544,1.34118,1.22322,1.11463,0.00022576,0.00022576,0.00022576
46,740.737,1.13229,0.98006,1.01598,0.65234,0.40005,0.41159,0.2592,1.31161,1.23501,1.09274,0.0002218,0.0002218,0.0002218
47,758.594,1.12013,0.95179,1.01329,0.66142,0.38448,0.40729,0.24766,1.34478,1.21697,1.11201,0.00021784,0.00021784,0.00021784
48,776.579,1.12811,0.96008,1.01403,0.6343,0.41491,0.43423,0.27046,1.32003,1.18209,1.09639,0.00021388,0.00021388,0.00021388
49,794.842,1.12238,0.94608,1.0129,0.61527,0.40639,0.42697,0.26673,1.3428,1.22163,1.1108,0.00020992,0.00020992,0.00020992
50,810.741,1.11724,0.93775,1.00763,0.65148,0.38451,0.43286,0.26794,1.32928,1.1835,1.09917,0.00020596,0.00020596,0.00020596
51,825.768,1.12661,0.9431,1.00938,0.67361,0.37121,0.43025,0.26331,1.36348,1.19884,1.10506,0.000202,0.000202,0.000202
52,840.742,1.10838,0.92035,1.00388,0.54401,0.42107,0.38813,0.24089,1.31338,1.20542,1.0976,0.00019804,0.00019804,0.00019804
53,855.582,1.10846,0.92552,1.00637,0.67944,0.37182,0.42453,0.26405,1.35436,1.19237,1.11313,0.00019408,0.00019408,0.00019408
54,870.527,1.10629,0.91823,1.00913,0.50806,0.38668,0.38452,0.2331,1.35012,1.21995,1.10975,0.00019012,0.00019012,0.00019012
55,885.453,1.09336,0.91523,1.0025,0.69983,0.36355,0.42859,0.27145,1.3335,1.17603,1.10446,0.00018616,0.00018616,0.00018616
56,900.389,1.10237,0.90211,1.00049,0.67372,0.36941,0.4148,0.25719,1.3401,1.22879,1.10988,0.0001822,0.0001822,0.0001822
57,915.291,1.08705,0.89416,1.00255,0.67806,0.36763,0.41302,0.26001,1.32002,1.21939,1.1037,0.00017824,0.00017824,0.00017824
58,933.003,1.0841,0.88415,1.00025,0.69855,0.34539,0.41512,0.25636,1.34703,1.22976,1.11026,0.00017428,0.00017428,0.00017428
59,948.129,1.0856,0.8901,0.99602,0.70687,0.35073,0.42011,0.26413,1.30765,1.20697,1.09502,0.00017032,0.00017032,0.00017032
60,962.999,1.09131,0.88432,0.99774,0.69711,0.3713,0.42829,0.26443,1.33847,1.19689,1.10611,0.00016636,0.00016636,0.00016636
61,977.855,1.08226,0.87605,0.99353,0.72689,0.34395,0.39304,0.23509,1.32308,1.21199,1.10093,0.0001624,0.0001624,0.0001624
62,992.626,1.09014,0.8849,0.9961,0.69102,0.36396,0.41992,0.26243,1.33194,1.2081,1.10479,0.00015844,0.00015844,0.00015844
63,1007.53,1.07733,0.87557,0.99141,0.65418,0.38638,0.4176,0.25979,1.35703,1.23449,1.11696,0.00015448,0.00015448,0.00015448
64,1022.44,1.07534,0.86326,0.9906,0.66117,0.3886,0.4174,0.2624,1.33995,1.17887,1.10966,0.00015052,0.00015052,0.00015052
65,1037.16,1.0664,0.85293,0.99099,0.62782,0.41293,0.42002,0.27069,1.29671,1.17182,1.0898,0.00014656,0.00014656,0.00014656
