epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6495,3.24127,8.39328,2.27125,0.54016,0.07838,0.07212,0.04595,3.06243,5.213,2.28422,0.000132544,0.000132544,0.000132544
2,66.6161,3.17729,5.87874,2.32164,0.51145,0.14469,0.11968,0.07095,2.90808,4.18674,2.34189,0.000263246,0.000263246,0.000263246
3,96.1571,3.17204,5.14978,2.32921,0.49325,0.17037,0.14302,0.08676,2.88719,3.9032,2.33228,0.000391307,0.000391307,0.000391307
4,122.734,3.07142,4.75043,2.31658,0.38867,0.18445,0.16219,0.09389,2.95466,3.86064,2.36037,0.00038812,0.00038812,0.00038812
5,145.942,3.05502,4.44694,2.29808,0.34985,0.19947,0.18474,0.10873,2.93539,3.59205,2.3262,0.00038416,0.00038416,0.00038416
6,174.115,3.03299,4.18757,2.27502,0.43645,0.18748,0.19161,0.11619,2.9142,3.7071,2.33303,0.0003802,0.0003802,0.0003802
7,204.875,2.98929,3.97915,2.26246,0.44128,0.20017,0.20097,0.11995,3.00124,3.56957,2.35702,0.00037624,0.00037624,0.00037624
8,231.143,2.98726,3.86202,2.26687,0.51008,0.22901,0.22097,0.1323,2.88558,3.39189,2.31971,0.00037228,0.00037228,0.00037228
9,256.772,2.94586,3.70441,2.24289,0.5825,0.23356,0.24099,0.14244,2.88987,3.31629,2.2984,0.00036832,0.00036832,0.00036832
10,289.166,2.95495,3.61404,2.24847,0.60428,0.23263,0.24462,0.14712,2.85662,3.28995,2.31141,0.00036436,0.00036436,0.00036436
11,320.636,2.93781,3.47399,2.22697,0.5423,0.24672,0.25202,0.14811,2.9906,3.46287,2.3753,0.0003604,0.0003604,0.0003604
12,343.264,2.89561,3.41566,2.2237,0.59893,0.24479,0.2517,0.15273,2.83596,3.19263,2.28776,0.00035644,0.00035644,0.00035644
13,369.566,2.86802,3.31931,2.21748,0.63257,0.24086,0.26031,0.15497,2.87797,3.26342,2.30337,0.00035248,0.00035248,0.00035248
14,399.391,2.88795,3.25061,2.21088,0.51977,0.26744,0.24937,0.14768,2.89573,3.26275,2.30683,0.00034852,0.00034852,0.00034852
15,429.249,2.88672,3.21163,2.20976,0.55149,0.27374,0.2887,0.17162,2.90998,3.1615,2.31222,0.00034456,0.00034456,0.00034456
16,452.457,2.84186,3.11544,2.19492,0.55087,0.26287,0.27424,0.16034,2.93033,3.08353,2.3228,0.0003406,0.0003406,0.0003406
17,482.703,2.87334,3.09231,2.19612,0.5718,0.26334,0.29642,0.17186,2.97018,3.05392,2.32398,0.00033664,0.00033664,0.00033664
18,512.121,2.80723,3.02469,2.18409,0.54318,0.27779,0.2885,0.17237,2.93593,3.14757,2.30251,0.00033268,0.00033268,0.00033268
19,541.358,2.83928,3.00362,2.18181,0.56328,0.26922,0.30006,0.17669,2.8769,3.01871,2.30787,0.00032872,0.00032872,0.00032872
20,563.462,2.82965,2.95727,2.1804,0.53606,0.2758,0.29326,0.17683,2.93964,3.14793,2.32445,0.00032476,0.00032476,0.00032476
21,597.071,2.78098,2.90008,2.16205,0.47954,0.30548,0.29613,0.1731,3.0467,3.01654,2.34531,0.0003208,0.0003208,0.0003208
22,626.714,2.75981,2.86464,2.14881,0.56327,0.2841,0.29964,0.18141,2.85553,2.99015,2.28711,0.00031684,0.00031684,0.00031684
23,652.718,2.79949,2.80631,2.1613,0.54736,0.29552,0.31441,0.19158,2.85498,3.02788,2.28296,0.00031288,0.00031288,0.00031288
24,678.115,2.77289,2.77427,2.15311,0.52018,0.30554,0.31938,0.19315,2.84863,2.97801,2.2844,0.00030892,0.00030892,0.00030892
25,711.931,2.74684,2.74809,2.13647,0.47408,0.33088,0.32049,0.1893,2.77288,2.98784,2.25467,0.00030496,0.00030496,0.00030496
26,740.906,2.7642,2.75937,2.14635,0.58556,0.29554,0.31573,0.18904,2.98136,3.02027,2.35288,0.000301,0.000301,0.000301
27,763.693,2.73354,2.67272,2.13622,0.5598,0.3165,0.3266,0.19464,2.8077,2.92666,2.24579,0.00029704,0.00029704,0.00029704
28,792.466,2.7278,2.66688,2.12428,0.59283,0.32023,0.31848,0.19173,2.87679,2.94778,2.28301,0.00029308,0.00029308,0.00029308
29,821.341,2.74791,2.66251,2.13349,0.57241,0.299,0.31739,0.19059,2.87875,2.94688,2.27326,0.00028912,0.00028912,0.00028912
30,847.784,2.7304,2.61481,2.12001,0.51134,0.32004,0.32668,0.19893,2.81332,2.83162,2.25592,0.00028516,0.00028516,0.00028516
31,870.87,2.71156,2.59677,2.11907,0.46162,0.32951,0.31885,0.18874,2.89522,3.17687,2.3045,0.0002812,0.0002812,0.0002812
32,902.179,2.68526,2.56303,2.11904,0.51429,0.32422,0.33884,0.20146,2.93704,2.96066,2.31453,0.00027724,0.00027724,0.00027724
33,933.694,2.68949,2.55009,2.11413,0.5529,0.31108,0.32281,0.19442,2.89934,2.98573,2.28842,0.00027328,0.00027328,0.00027328
34,958.895,2.68385,2.51547,2.10969,0.50025,0.31947,0.32687,0.19667,2.84259,2.89716,2.27235,0.00026932,0.00026932,0.00026932
35,983.532,2.65119,2.46502,2.09553,0.62038,0.32799,0.33584,0.20324,2.88417,2.83442,2.28751,0.00026536,0.00026536,0.00026536
36,1014.57,2.62848,2.45892,2.0942,0.48644,0.32934,0.31927,0.19231,2.92897,3.02068,2.30034,0.0002614,0.0002614,0.0002614
37,1044.63,2.65893,2.45413,2.0981,0.56937,0.32076,0.36086,0.22412,2.83989,2.85103,2.27863,0.00025744,0.00025744,0.00025744
38,1067.56,2.65337,2.42655,2.08794,0.54158,0.37871,0.37761,0.22734,2.87711,2.84056,2.28063,0.00025348,0.00025348,0.00025348
39,1095.43,2.6263,2.4044,2.08857,0.53958,0.35078,0.36481,0.21645,2.89973,2.88866,2.29193,0.00024952,0.00024952,0.00024952
40,1126.53,2.66543,2.39271,2.08189,0.62029,0.33361,0.34136,0.20496,2.82232,2.86508,2.25692,0.00024556,0.00024556,0.00024556
41,1152.54,2.61468,2.37197,2.08447,0.63198,0.33539,0.36362,0.21944,2.80068,2.7923,2.25041,0.0002416,0.0002416,0.0002416
42,1175.25,2.63666,2.3639,2.07309,0.50852,0.34036,0.33502,0.20618,2.8042,2.87591,2.24904,0.00023764,0.00023764,0.00023764
43,1206.02,2.61414,2.35726,2.07796,0.65302,0.32194,0.39849,0.24455,2.77032,2.75693,2.24381,0.00023368,0.00023368,0.00023368
44,1237.77,2.59042,2.32155,2.07416,0.56318,0.35296,0.37919,0.22744,2.83714,2.84172,2.26452,0.00022972,0.00022972,0.00022972
45,1262.05,2.60921,2.31346,2.0786,0.57996,0.37105,0.38433,0.22851,2.88691,2.741,2.29177,0.00022576,0.00022576,0.00022576
46,1285.9,2.59576,2.30915,2.06861,0.65505,0.34997,0.37642,0.23024,2.82329,2.75901,2.26061,0.0002218,0.0002218,0.0002218
47,1313.92,2.58224,2.25912,2.06326,0.68157,0.34388,0.38843,0.23312,2.83174,2.83125,2.26512,0.00021784,0.00021784,0.00021784
48,1345.38,2.58437,2.26957,2.05668,0.65439,0.35617,0.39626,0.24326,2.81875,2.79521,2.24774,0.00021388,0.00021388,0.00021388
