epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2165,1.54943,3.89848,1.14057,0.50297,0.15221,0.13964,0.08336,1.52242,2.52684,1.11548,0.000132544,0.000132544,0.000132544
2,45.0296,1.51304,2.47832,1.17309,0.65176,0.17591,0.18349,0.10441,1.49644,1.95503,1.18939,0.000263246,0.000263246,0.000263246
3,64.5937,1.49117,2.06563,1.19996,0.52942,0.22538,0.21622,0.12704,1.4508,1.69833,1.16745,0.000391307,0.000391307,0.000391307
4,83.8048,1.43229,1.87132,1.1846,0.58687,0.22298,0.22453,0.13316,1.42769,1.7324,1.17665,0.00038812,0.00038812,0.00038812
5,104.382,1.41175,1.78606,1.173,0.56362,0.2667,0.27951,0.17213,1.4616,1.5566,1.19214,0.00038416,0.00038416,0.00038416
6,125.105,1.38883,1.68164,1.1585,0.62623,0.27474,0.28205,0.16737,1.38809,1.465,1.15513,0.0003802,0.0003802,0.0003802
7,145.682,1.35939,1.60769,1.15012,0.6041,0.27684,0.26874,0.15665,1.4624,1.54065,1.19896,0.00037624,0.00037624,0.00037624
8,166.187,1.35963,1.58483,1.15567,0.58038,0.31067,0.30457,0.18918,1.43877,1.45145,1.17625,0.00037228,0.00037228,0.00037228
9,189.361,1.34004,1.53619,1.14174,0.56741,0.3104,0.29605,0.17742,1.39834,1.45938,1.15933,0.00036832,0.00036832,0.00036832
10,209.62,1.34247,1.50676,1.14362,0.62341,0.30672,0.33888,0.20854,1.3707,1.40154,1.14423,0.00036436,0.00036436,0.00036436
11,229.664,1.31947,1.43279,1.12808,0.5679,0.27757,0.30223,0.17803,1.38781,1.43725,1.16705,0.0003604,0.0003604,0.0003604
12,248.611,1.31279,1.42129,1.12516,0.59926,0.28844,0.30983,0.19196,1.3409,1.4049,1.1408,0.00035644,0.00035644,0.00035644
13,267.755,1.29299,1.37806,1.11787,0.60352,0.30427,0.31793,0.18409,1.38759,1.3904,1.16562,0.00035248,0.00035248,0.00035248
14,286.912,1.29373,1.34569,1.1148,0.67388,0.302,0.31433,0.19156,1.33042,1.36629,1.13035,0.00034852,0.00034852,0.00034852
15,307.437,1.29252,1.34587,1.11185,0.63124,0.28399,0.32528,0.19353,1.41166,1.43582,1.18079,0.00034456,0.00034456,0.00034456
16,328.28,1.27073,1.30378,1.10846,0.60576,0.31639,0.3449,0.20167,1.43647,1.36123,1.17982,0.0003406,0.0003406,0.0003406
17,348.911,1.28672,1.29152,1.10743,0.62018,0.31219,0.33203,0.19905,1.3588,1.31532,1.15011,0.00033664,0.00033664,0.00033664
18,369.497,1.25848,1.26658,1.1006,0.6707,0.3133,0.35067,0.21017,1.33757,1.33053,1.1322,0.00033268,0.00033268,0.00033268
19,390.619,1.26378,1.24943,1.0986,0.68331,0.31689,0.33274,0.20233,1.32905,1.2744,1.144,0.00032872,0.00032872,0.00032872
20,411.197,1.26013,1.23432,1.09834,0.5564,0.32456,0.35007,0.21217,1.33468,1.33068,1.14667,0.00032476,0.00032476,0.00032476
21,431.994,1.23604,1.19687,1.09133,0.67017,0.32888,0.36697,0.21734,1.39925,1.27248,1.15103,0.0003208,0.0003208,0.0003208
22,452.907,1.22798,1.19027,1.08269,0.57139,0.32322,0.35418,0.21412,1.36309,1.32174,1.14908,0.00031684,0.00031684,0.00031684
23,474.08,1.24291,1.17495,1.0876,0.50782,0.37964,0.35126,0.2153,1.3697,1.29846,1.14484,0.00031288,0.00031288,0.00031288
24,495.153,1.22962,1.15272,1.08279,0.60962,0.32383,0.35234,0.21732,1.35354,1.28435,1.14718,0.00030892,0.00030892,0.00030892
25,515.002,1.21297,1.14783,1.07776,0.69395,0.287,0.34695,0.20847,1.37169,1.28694,1.17044,0.00030496,0.00030496,0.00030496
26,534.46,1.22883,1.13896,1.08443,0.55886,0.39494,0.36152,0.21657,1.35203,1.28351,1.13786,0.000301,0.000301,0.000301
27,554.057,1.21393,1.10261,1.07597,0.54936,0.40124,0.3578,0.21876,1.3376,1.30018,1.14056,0.00029704,0.00029704,0.00029704
28,573.717,1.20811,1.10507,1.07352,0.61531,0.37826,0.38636,0.2317,1.3881,1.30578,1.16518,0.00029308,0.00029308,0.00029308
29,593.12,1.20949,1.09721,1.07491,0.57444,0.39863,0.38676,0.23642,1.38045,1.29757,1.16755,0.00028912,0.00028912,0.00028912
30,612.543,1.2031,1.08006,1.06788,0.58314,0.36274,0.34974,0.21186,1.34949,1.33143,1.15098,0.00028516,0.00028516,0.00028516
31,631.92,1.19185,1.0735,1.06256,0.63824,0.3628,0.38341,0.23693,1.36383,1.27391,1.15271,0.0002812,0.0002812,0.0002812
32,651.335,1.1897,1.06806,1.06923,0.60421,0.34807,0.34766,0.20831,1.41283,1.28591,1.17697,0.00027724,0.00027724,0.00027724
33,670.407,1.18722,1.05813,1.06332,0.61334,0.37411,0.37799,0.22731,1.35857,1.25971,1.15109,0.00027328,0.00027328,0.00027328
34,689.717,1.1865,1.04488,1.06349,0.61905,0.36782,0.37931,0.22576,1.37478,1.24727,1.16808,0.00026932,0.00026932,0.00026932
35,709.008,1.16153,1.00887,1.05353,0.59205,0.3898,0.39616,0.24067,1.38465,1.25975,1.16431,0.00026536,0.00026536,0.00026536
36,728.291,1.15401,1.01028,1.05219,0.66639,0.3357,0.36109,0.21664,1.36413,1.25718,1.16123,0.0002614,0.0002614,0.0002614
37,748.135,1.17044,1.00653,1.05105,0.70415,0.34949,0.40262,0.24434,1.36761,1.24131,1.14898,0.00025744,0.00025744,0.00025744
38,768.156,1.15823,0.99713,1.0454,0.6264,0.42504,0.41156,0.24778,1.37506,1.24479,1.15004,0.00025348,0.00025348,0.00025348
39,787.228,1.15477,0.99992,1.04619,0.56377,0.37684,0.39183,0.23257,1.40355,1.26473,1.17815,0.00024952,0.00024952,0.00024952
40,806.428,1.16359,0.98256,1.04009,0.63995,0.38102,0.3922,0.24035,1.37404,1.2643,1.16117,0.00024556,0.00024556,0.00024556
41,825.513,1.14524,0.97394,1.0457,0.61671,0.35361,0.39191,0.23982,1.39294,1.25188,1.17111,0.0002416,0.0002416,0.0002416
42,844.491,1.15695,0.97168,1.03947,0.60833,0.3804,0.37517,0.23146,1.33516,1.23834,1.14303,0.00023764,0.00023764,0.00023764
43,863.482,1.14455,0.96792,1.03719,0.66231,0.38391,0.40897,0.24859,1.36805,1.24311,1.15592,0.00023368,0.00023368,0.00023368
44,882.624,1.14062,0.95072,1.03848,0.66211,0.38467,0.41475,0.253,1.33613,1.2048,1.14046,0.00022972,0.00022972,0.00022972
45,902.297,1.14591,0.94969,1.03867,0.58934,0.38872,0.40518,0.24451,1.3521,1.21097,1.16861,0.00022576,0.00022576,0.00022576
46,921.261,1.13189,0.94339,1.03114,0.57807,0.37261,0.39021,0.23703,1.40474,1.22278,1.18372,0.0002218,0.0002218,0.0002218
47,940.484,1.11412,0.91806,1.02708,0.65696,0.35665,0.39398,0.24198,1.34901,1.24454,1.14891,0.00021784,0.00021784,0.00021784
48,960.518,1.12237,0.92359,1.02545,0.62986,0.38889,0.41222,0.24778,1.38845,1.21957,1.1645,0.00021388,0.00021388,0.00021388
49,980.049,1.11669,0.90288,1.02415,0.62492,0.38669,0.43595,0.2543,1.33116,1.19235,1.13628,0.00020992,0.00020992,0.00020992
50,999.705,1.10666,0.89664,1.01921,0.64957,0.37843,0.40772,0.24944,1.35645,1.2047,1.15861,0.00020596,0.00020596,0.00020596
51,1019.09,1.12518,0.90177,1.02614,0.55883,0.39675,0.40908,0.24781,1.33716,1.19954,1.1424,0.000202,0.000202,0.000202
52,1038.38,1.10295,0.88327,1.0171,0.66561,0.36477,0.46739,0.25324,1.36218,1.22161,1.15494,0.00019804,0.00019804,0.00019804
53,1057.46,1.10075,0.88286,1.0181,0.532,0.44038,0.41292,0.25182,1.34451,1.20507,1.14522,0.00019408,0.00019408,0.00019408
54,1076.75,1.0987,0.87424,1.02077,0.57141,0.41359,0.41754,0.25592,1.36293,1.24692,1.16375,0.00019012,0.00019012,0.00019012
55,1097.58,1.08788,0.87919,1.01489,0.58347,0.38668,0.40972,0.24866,1.35613,1.24433,1.14798,0.00018616,0.00018616,0.00018616
56,1118.12,1.09393,0.86498,1.01128,0.62029,0.39183,0.40097,0.23927,1.39436,1.26315,1.16863,0.0001822,0.0001822,0.0001822
57,1138.57,1.07796,0.84927,1.01238,0.60698,0.38423,0.41751,0.25359,1.33919,1.1826,1.14064,0.00017824,0.00017824,0.00017824
58,1159.23,1.07258,0.83774,1.01144,0.65458,0.36886,0.40077,0.24144,1.39209,1.2674,1.1709,0.00017428,0.00017428,0.00017428
59,1179.73,1.07202,0.84487,1.00527,0.50757,0.38529,0.38788,0.23006,1.40417,1.26319,1.18657,0.00017032,0.00017032,0.00017032
60,1200.3,1.08367,0.83787,1.00908,0.50625,0.40186,0.41045,0.24756,1.37313,1.2397,1.15471,0.00016636,0.00016636,0.00016636
61,1221.15,1.07106,0.83186,1.00419,0.58618,0.38556,0.41109,0.24735,1.36562,1.24047,1.15962,0.0001624,0.0001624,0.0001624
62,1241.74,1.07664,0.83585,1.00449,0.59498,0.37993,0.41141,0.24551,1.3434,1.21313,1.14897,0.00015844,0.00015844,0.00015844
63,1262.26,1.06951,0.82983,1.00226,0.60494,0.37989,0.41293,0.24779,1.36148,1.22923,1.15821,0.00015448,0.00015448,0.00015448
64,1282.54,1.06619,0.81906,1.00132,0.58446,0.39323,0.39782,0.23709,1.37222,1.21146,1.1655,0.00015052,0.00015052,0.00015052
65,1301.75,1.05409,0.80476,0.99933,0.67391,0.37212,0.41349,0.24832,1.36871,1.22727,1.17483,0.00014656,0.00014656,0.00014656
66,1320.87,1.05586,0.80582,1.00042,0.62145,0.38745,0.42533,0.26028,1.35584,1.23249,1.16385,0.0001426,0.0001426,0.0001426
67,1340.34,1.04934,0.79638,0.99407,0.55884,0.40943,0.42897,0.25432,1.38528,1.24522,1.18506,0.00013864,0.00013864,0.00013864
68,1359.41,1.04153,0.79601,0.99248,0.6122,0.37396,0.41924,0.25018,1.3744,1.21975,1.16987,0.00013468,0.00013468,0.00013468
69,1378.99,1.05084,0.7919,0.99769,0.5954,0.39337,0.4192,0.25001,1.36213,1.22266,1.1612,0.00013072,0.00013072,0.00013072
70,1398.48,1.03901,0.7873,0.99663,0.62179,0.38312,0.42682,0.25575,1.36298,1.19971,1.17231,0.00012676,0.00012676,0.00012676
71,1417.76,1.05013,0.78751,0.99294,0.66435,0.38002,0.42518,0.25138,1.35444,1.22072,1.15743,0.0001228,0.0001228,0.0001228
72,1437.02,1.02276,0.76804,0.98614,0.5596,0.40645,0.42737,0.25884,1.35467,1.18854,1.16598,0.00011884,0.00011884,0.00011884
73,1456.72,1.03908,0.78252,0.98595,0.68205,0.38463,0.42844,0.2544,1.36635,1.21572,1.16928,0.00011488,0.00011488,0.00011488
74,1476.59,1.03046,0.76841,0.984,0.55127,0.4116,0.41325,0.24872,1.37694,1.23722,1.18097,0.00011092,0.00011092,0.00011092
75,1497.25,1.02073,0.75686,0.98284,0.66058,0.37325,0.39853,0.23872,1.3714,1.2456,1.17177,0.00010696,0.00010696,0.00010696
76,1518.13,1.02733,0.76246,0.98475,0.62579,0.36433,0.41229,0.25132,1.37748,1.22637,1.18074,0.000103,0.000103,0.000103
77,1537.33,1.01358,0.75881,0.97929,0.70655,0.34106,0.40132,0.24347,1.37192,1.26418,1.17469,9.904e-05,9.904e-05,9.904e-05
78,1556.38,1.01328,0.74893,0.98132,0.65928,0.37543,0.41467,0.24752,1.37795,1.25996,1.17365,9.508e-05,9.508e-05,9.508e-05
79,1575.74,1.00624,0.73652,0.9783,0.66315,0.39161,0.41167,0.24904,1.36499,1.26256,1.17442,9.112e-05,9.112e-05,9.112e-05
